algorithm,simulation_id,objective_value,runtime_seconds
ALNS,1,2866884,51.95981825434215
ALNS,2,2126777,47.959754525911094
ALNS,3,2015013,31.742508365045985
ALNS,4,2015032,55.98528437324806
ALNS,5,4128604,30.617534828874074
ALNS,6,3182426,59.09729556485983
ALNS,7,1740731,35.45474901621302
ALNS,8,2920321,35.50213529560301
ALNS,9,2569955,42.95835055926347
ALNS,10,57885,38.736874205941255
ALNS,11,1107415,38.76433945605655
ALNS,12,2654208,40.99085529881075
ALNS,13,3996238,35.990213464750795
ALNS,14,2024777,45.42703315240835
ALNS,15,1653421,48.22634555704315
ALNS,16,2417220,35.115723710618745
ALNS,17,1587851,50.5269907953647
ALNS,18,1947946,43.20457481218804
ALNS,19,2272201,31.031655633456552
ALNS,20,1055105,57.27961206236346
ALNS,21,3246661,39.35133228268233
ALNS,22,864964,45.602040635334326
ALNS,23,739849,59.08753883293676
ALNS,24,2517387,53.253984700833435
ALNS,25,3148662,32.65477506155759
ALNS,26,2487674,35.87948587257436
ALNS,27,2153138,41.66031869068446
ALNS,28,1936978,38.14047095321688
ALNS,29,1751030,38.42803529062142
ALNS,30,3520075,46.28088249474745
ALNS,31,2665673,32.23651931039313
ALNS,32,1839096,59.60660809801552
ALNS,33,1498938,30.165663513708072
ALNS,34,3000880,54.463842853645026
ALNS,35,3489627,53.13811040057837
ALNS,36,3373398,32.22133955202271
ALNS,37,1309773,55.8931027762678
ALNS,38,1927527,48.69894380482674
ALNS,39,1729426,39.329469651469864
ALNS,40,2071536,39.755499660802414
ALNS,41,3234983,56.616382277289794
TabuSearch,1,9272873,54.16644775485848
TabuSearch,2,6738995,62.82355145850693
TabuSearch,3,4174159,56.838315927084885
TabuSearch,4,5726411,55.68198488145982
TabuSearch,5,9803807,52.82623055075649
TabuSearch,6,6039445,49.4306794322898
TabuSearch,7,5055923,55.25712073494108
TabuSearch,8,5258040,52.31148769106889
TabuSearch,9,6727471,62.66653415629146
TabuSearch,10,3757943,67.8909295702772
TabuSearch,11,4539393,64.24361138693251
TabuSearch,12,8149783,64.11016230697344
TabuSearch,13,6655216,45.597101766581076
TabuSearch,14,6064999,64.22320465492187
TabuSearch,15,8285426,66.88273899770479
TabuSearch,16,4029114,46.83805487625825
TabuSearch,17,4982922,52.81323365878769
TabuSearch,18,6572085,40.20856391593572
TabuSearch,19,6482753,55.32241907732697
TabuSearch,20,2211848,43.595961020010485
TabuSearch,21,4746035,50.12845514210884
TabuSearch,22,5406786,55.563718652300985
TabuSearch,23,6847052,61.090568766855334
TabuSearch,24,6473824,68.87341884826334
TabuSearch,25,5628022,47.553468874760924
TabuSearch,26,929372,48.54521483132403
TabuSearch,27,5750134,41.106608420635986
TabuSearch,28,5971126,41.54436253749968
TabuSearch,29,12093099,48.359393927098346
TabuSearch,30,5327618,44.346846162736696
TabuSearch,31,6585911,54.68358280832689
TabuSearch,32,8729166,47.12912631977199
TabuSearch,33,7733325,61.84649045835579
TabuSearch,34,9391476,59.00589132282684
TabuSearch,35,2246291,56.073240522242756
TabuSearch,36,3294167,41.22325424664292
TabuSearch,37,4374968,57.72678829564725
TabuSearch,38,1867173,59.3551837122835
TabuSearch,39,5992355,45.23099287014974
TabuSearch,40,3475334,68.10189966210204
TabuSearch,41,9766334,44.1256283243798
